Paper Name,Aspect,Sentence,Hallucination,kind
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Motivation,"Dense transformers activate all their parameters for every token, which wastes computation on tokens that only need a fraction of the model's capacity.",0,true
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Contribution,SparseRoute is a mixture-of-experts transformer that routes each token to its top-2 experts out of a pool of 32.,0,true
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Methodology,An auxiliary load-balancing loss with a coefficient of 0.01 discourages uneven expert usage across a batch.,0,true
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Main Results,SparseRoute reduces training FLOPs by 41% while reaching a validation perplexity within 0.2 points of a dense transformer baseline.,0,true
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Paper Goal,The goal of this work is to match dense-transformer quality at lower training cost via sparse expert routing.,0,true
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Motivation,Prior mixture-of-experts methods are praised in this paper for evenly distributing tokens across experts without any additional loss terms.,1,contradict
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Contribution,SparseRoute routes each token to all 32 experts simultaneously to maximize representational capacity.,1,contradict
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Methodology,"The load-balancing loss coefficient is set to 10.0, an order of magnitude larger than the expert-routing loss itself.",1,contradict
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Main Results,SparseRoute increases training FLOPs by 41% relative to a dense transformer while achieving substantially worse perplexity.,1,contradict
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Paper Goal,This paper's main goal is to show that mixture-of-experts models are strictly worse than dense transformers in every setting.,1,contradict
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Methodology,SparseRoute's gating mechanism could plausibly be extended to route based on both token identity and sequence position.,0,neutral
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Main Results,The 41% FLOP reduction reported for SparseRoute was measured using a batch size of 256 sequences.,1,neutral
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Contribution,SparseRoute's routing gate is implemented as a single linear layer followed by a softmax over the 32 experts.,0,neutral
SparseRoute: Dynamic Expert Routing for Mixture-of-Experts Transformers,Main Results,SparseRoute's authors also report a 3.2x inference speedup on a single A100 GPU compared to the dense baseline.,1,neutral
